number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.26515151515151514,2026-04-28 11:12:54.801081,2026-04-28 11:12:54.823231,0 days 00:00:00.022150,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.01858736059479554,2026-04-28 11:12:54.823405,2026-04-28 11:12:54.831687,0 days 00:00:00.008282,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.017921146953405017,2026-04-28 11:12:54.831817,2026-04-28 11:12:54.839946,0 days 00:00:00.008129,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.02304147465437788,2026-04-28 11:12:54.840079,2026-04-28 11:12:55.057500,0 days 00:00:00.217421,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.023474178403755867,2026-04-28 11:12:55.057682,2026-04-28 11:12:55.062805,0 days 00:00:00.005123,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:12:55.062932,2026-04-28 11:12:55.133043,0 days 00:00:00.070111,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.033783783783783786,2026-04-28 11:12:55.133218,2026-04-28 11:12:55.576350,0 days 00:00:00.443132,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:12:55.576549,2026-04-28 11:12:55.581405,0 days 00:00:00.004856,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.029455081001472753,2026-04-28 11:12:55.581536,2026-04-28 11:12:55.749464,0 days 00:00:00.167928,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.028462998102466792,2026-04-28 11:12:55.749653,2026-04-28 11:12:55.758653,0 days 00:00:00.009000,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.382262996941896,2026-04-28 11:12:55.758833,2026-04-28 11:12:55.782058,0 days 00:00:00.023225,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.36443148688046645,2026-04-28 11:12:55.782260,2026-04-28 11:12:55.805939,0 days 00:00:00.023679,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.015527950310559006,2026-04-28 11:12:55.806104,2026-04-28 11:12:55.815988,0 days 00:00:00.009884,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.3453038674033149,2026-04-28 11:12:55.816134,2026-04-28 11:12:55.839558,0 days 00:00:00.023424,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.2616279069767442,2026-04-28 11:12:55.839734,2026-04-28 11:12:55.876307,0 days 00:00:00.036573,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.1346153846153846,2026-04-28 11:12:55.876488,2026-04-28 11:12:55.928259,0 days 00:00:00.051771,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.02364066193853428,2026-04-28 11:12:55.928449,2026-04-28 11:12:55.938297,0 days 00:00:00.009848,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.2564102564102564,2026-04-28 11:12:55.938444,2026-04-28 11:12:55.971156,0 days 00:00:00.032712,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.37542662116040953,2026-04-28 11:12:55.971326,2026-04-28 11:12:55.992091,0 days 00:00:00.020765,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.21052631578947367,2026-04-28 11:12:55.992266,2026-04-28 11:12:56.028336,0 days 00:00:00.036070,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.0,2026-04-28 11:12:56.028502,2026-04-28 11:12:56.038189,0 days 00:00:00.009687,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.33967391304347827,2026-04-28 11:12:56.038329,2026-04-28 11:12:56.060779,0 days 00:00:00.022450,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.3409090909090909,2026-04-28 11:12:56.060935,2026-04-28 11:12:56.091848,0 days 00:00:00.030913,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.027247956403269755,2026-04-28 11:12:56.092016,2026-04-28 11:12:56.167109,0 days 00:00:00.075093,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.17786561264822134,2026-04-28 11:12:56.167284,2026-04-28 11:12:56.195215,0 days 00:00:00.027931,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
