number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.01679152673727719,2026-04-18 17:51:59.223300,2026-04-18 17:51:59.301968,0 days 00:00:00.078668,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0025673940949935813,2026-04-18 17:51:59.302229,2026-04-18 17:51:59.321960,0 days 00:00:00.019731,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.006356470887363336,2026-04-18 17:51:59.322169,2026-04-18 17:51:59.341860,0 days 00:00:00.019691,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.14792299898682879,2026-04-18 17:51:59.342035,2026-04-18 17:51:59.884500,0 days 00:00:00.542465,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.11512631915574033,2026-04-18 17:51:59.884698,2026-04-18 17:51:59.895081,0 days 00:00:00.010383,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.020768431983385256,2026-04-18 17:51:59.895285,2026-04-18 17:52:00.161474,0 days 00:00:00.266189,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.23635833090166325,2026-04-18 17:52:00.161685,2026-04-18 17:52:01.311837,0 days 00:00:01.150152,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0012980269989615785,2026-04-18 17:52:01.312039,2026-04-18 17:52:01.321463,0 days 00:00:00.009424,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.1828662293778573,2026-04-18 17:52:01.321730,2026-04-18 17:52:01.773253,0 days 00:00:00.451523,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.05447553941465499,2026-04-18 17:52:01.773485,2026-04-18 17:52:01.794049,0 days 00:00:00.020564,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.023301447142506745,2026-04-18 17:52:01.794243,2026-04-18 17:52:01.815117,0 days 00:00:00.020874,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.23540489642184556,2026-04-18 17:52:01.815298,2026-04-18 17:52:03.106446,0 days 00:00:01.291148,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.23789234483738106,2026-04-18 17:52:03.106688,2026-04-18 17:52:04.413986,0 days 00:00:01.307298,,0.17998506335222095,,0.997051699031053,IForest,,192.0,,,COMPLETE
13,0.06370929683813119,2026-04-18 17:52:04.414186,2026-04-18 17:52:05.812713,0 days 00:00:01.398527,,0.024527898153562742,,0.8109715399222327,IForest,,196.0,,,COMPLETE
14,0.19195763693529705,2026-04-18 17:52:05.812929,2026-04-18 17:52:06.853827,0 days 00:00:01.040898,,0.12674013677767976,,0.40396978287100893,IForest,,152.0,,,COMPLETE
15,0.03387850467289719,2026-04-18 17:52:06.854071,2026-04-18 17:52:06.875707,0 days 00:00:00.021636,,0.023627819941212387,,,ECOD,,,,,COMPLETE
16,0.01987577639751553,2026-04-18 17:52:06.875939,2026-04-18 17:52:07.884581,0 days 00:00:01.008642,,0.008802293388098813,,0.8145389162381034,IForest,,143.0,,,COMPLETE
17,0.21078517477604075,2026-04-18 17:52:07.884790,2026-04-18 17:52:09.043139,0 days 00:00:01.158349,,0.10670072284229577,,0.9972115722232049,IForest,,172.0,,,COMPLETE
18,0.11151570323167956,2026-04-18 17:52:09.043342,2026-04-18 17:52:09.828025,0 days 00:00:00.784683,,0.03479665417663077,,0.8199258979028818,IForest,,111.0,,,COMPLETE
19,0.2870967741935484,2026-04-18 17:52:09.828257,2026-04-18 17:52:09.979283,0 days 00:00:00.151026,,0.19632584745372814,14.0,,LOF,,,44.0,,COMPLETE
20,0.2836425677116656,2026-04-18 17:52:09.979483,2026-04-18 17:52:10.149031,0 days 00:00:00.169548,,0.09749168860739435,10.0,,LOF,,,49.0,,COMPLETE
21,0.2852277564921243,2026-04-18 17:52:10.149257,2026-04-18 17:52:10.303023,0 days 00:00:00.153766,,0.0891110141964635,14.0,,LOF,,,46.0,,COMPLETE
22,0.28210526315789475,2026-04-18 17:52:10.303234,2026-04-18 17:52:10.465044,0 days 00:00:00.161810,,0.08868604026538944,10.0,,LOF,,,47.0,,COMPLETE
23,0.2852277564921243,2026-04-18 17:52:10.465258,2026-04-18 17:52:10.613476,0 days 00:00:00.148218,,0.05237331050670194,12.0,,LOF,,,46.0,,COMPLETE
24,0.2853437094682231,2026-04-18 17:52:10.613737,2026-04-18 17:52:10.750514,0 days 00:00:00.136777,,0.04358780842865388,23.0,,LOF,,,41.0,,COMPLETE
25,0.29676258992805754,2026-04-18 17:52:10.750705,2026-04-18 17:52:10.858925,0 days 00:00:00.108220,,0.032296170633643984,40.0,,LOF,,,28.0,,COMPLETE
26,0.2983490566037736,2026-04-18 17:52:10.859147,2026-04-18 17:52:10.955758,0 days 00:00:00.096611,,0.020319392381952156,40.0,,LOF,,,20.0,,COMPLETE
27,0.29482262703739215,2026-04-18 17:52:10.955953,2026-04-18 17:52:11.046501,0 days 00:00:00.090548,,0.017716804131737054,46.0,,LOF,,,16.0,,COMPLETE
28,0.2949640287769784,2026-04-18 17:52:11.046711,2026-04-18 17:52:11.133991,0 days 00:00:00.087280,,0.01786245227560354,47.0,,LOF,,,14.0,,COMPLETE
29,0.11925907130170008,2026-04-18 17:52:11.134204,2026-04-18 17:52:11.238770,0 days 00:00:00.104566,,0.00691170360010517,45.0,,LOF,,,24.0,,COMPLETE
30,0.2202263779527559,2026-04-18 17:52:11.238985,2026-04-18 17:52:11.345335,0 days 00:00:00.106350,,0.012578649201956124,45.0,,LOF,,,25.0,,COMPLETE
31,0.29893924783027964,2026-04-18 17:52:11.345542,2026-04-18 17:52:11.422055,0 days 00:00:00.076513,,0.02039077742229638,55.0,,LOF,,,5.0,,COMPLETE
32,0.29893924783027964,2026-04-18 17:52:11.422269,2026-04-18 17:52:11.498516,0 days 00:00:00.076247,,0.029300264911874374,56.0,,LOF,,,5.0,,COMPLETE
33,0.29906317559452317,2026-04-18 17:52:11.498721,2026-04-18 17:52:11.575777,0 days 00:00:00.077056,,0.033994998988896345,59.0,,LOF,,,6.0,,COMPLETE
