number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.39215686274509803,2026-04-28 11:39:00.362633,2026-04-28 11:39:00.385443,0 days 00:00:00.022810,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:39:00.385615,2026-04-28 11:39:00.393891,0 days 00:00:00.008276,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:39:00.394042,2026-04-28 11:39:00.401900,0 days 00:00:00.007858,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.010245901639344262,2026-04-28 11:39:00.402058,2026-04-28 11:39:00.614216,0 days 00:00:00.212158,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.029498525073746312,2026-04-28 11:39:00.614389,2026-04-28 11:39:00.619317,0 days 00:00:00.004928,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:39:00.619443,2026-04-28 11:39:00.690277,0 days 00:00:00.070834,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.0457190357439734,2026-04-28 11:39:00.690451,2026-04-28 11:39:01.103394,0 days 00:00:00.412943,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.058823529411764705,2026-04-28 11:39:01.103577,2026-04-28 11:39:01.108217,0 days 00:00:00.004640,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.038314176245210725,2026-04-28 11:39:01.108344,2026-04-28 11:39:01.273371,0 days 00:00:00.165027,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.027247956403269755,2026-04-28 11:39:01.273546,2026-04-28 11:39:01.281734,0 days 00:00:00.008188,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.7394366197183099,2026-04-28 11:39:01.281866,2026-04-28 11:39:01.306165,0 days 00:00:00.024299,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.7394366197183099,2026-04-28 11:39:01.306337,2026-04-28 11:39:01.330971,0 days 00:00:00.024634,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.032679738562091505,2026-04-28 11:39:01.331145,2026-04-28 11:39:01.340541,0 days 00:00:00.009396,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.7394366197183099,2026-04-28 11:39:01.340671,2026-04-28 11:39:01.365493,0 days 00:00:00.024822,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.18404907975460122,2026-04-28 11:39:01.365671,2026-04-28 11:39:01.403360,0 days 00:00:00.037689,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.20202020202020202,2026-04-28 11:39:01.403541,2026-04-28 11:39:01.454039,0 days 00:00:00.050498,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.020242914979757085,2026-04-28 11:39:01.454234,2026-04-28 11:39:01.464448,0 days 00:00:00.010214,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.19927536231884058,2026-04-28 11:39:01.464607,2026-04-28 11:39:01.499685,0 days 00:00:00.035078,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.7608695652173914,2026-04-28 11:39:01.499863,2026-04-28 11:39:01.522745,0 days 00:00:00.022882,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.0,2026-04-28 11:39:01.522923,2026-04-28 11:39:01.562227,0 days 00:00:00.039304,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.050505050505050504,2026-04-28 11:39:01.562412,2026-04-28 11:39:01.572170,0 days 00:00:00.009758,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.7241379310344828,2026-04-28 11:39:01.572310,2026-04-28 11:39:01.596750,0 days 00:00:00.024440,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.29850746268656714,2026-04-28 11:39:01.596950,2026-04-28 11:39:01.629276,0 days 00:00:00.032326,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.026455026455026454,2026-04-28 11:39:01.629465,2026-04-28 11:39:01.709011,0 days 00:00:00.079546,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.11627906976744186,2026-04-28 11:39:01.709204,2026-04-28 11:39:01.739915,0 days 00:00:00.030711,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
