number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.016251354279523293,2026-04-24 14:12:34.641744,2026-04-24 14:12:34.665905,0 days 00:00:00.024161,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.012165450121654502,2026-04-24 14:12:34.666106,2026-04-24 14:12:34.674972,0 days 00:00:00.008866,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.022886375875067314,2026-04-24 14:12:34.675157,2026-04-24 14:12:34.684067,0 days 00:00:00.008910,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.11767651477215824,2026-04-24 14:12:34.684228,2026-04-24 14:12:34.904052,0 days 00:00:00.219824,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.16799292661361626,2026-04-24 14:12:34.904251,2026-04-24 14:12:34.909828,0 days 00:00:00.005577,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-24 14:12:34.910090,2026-04-24 14:12:34.989368,0 days 00:00:00.079278,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.25241675617615467,2026-04-24 14:12:34.989567,2026-04-24 14:12:35.442559,0 days 00:00:00.452992,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0027159152634437804,2026-04-24 14:12:35.442768,2026-04-24 14:12:35.447759,0 days 00:00:00.004991,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.15578635014836795,2026-04-24 14:12:35.447904,2026-04-24 14:12:35.621089,0 days 00:00:00.173185,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.07822356800403735,2026-04-24 14:12:35.621304,2026-04-24 14:12:35.629988,0 days 00:00:00.008684,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.04253056884635832,2026-04-24 14:12:35.630157,2026-04-24 14:12:35.640242,0 days 00:00:00.010085,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.1680765805877115,2026-04-24 14:12:35.640496,2026-04-24 14:12:35.650643,0 days 00:00:00.010147,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.1910828025477707,2026-04-24 14:12:35.650805,2026-04-24 14:12:35.660065,0 days 00:00:00.009260,0.49623881942137704,0.18255130435497313,,,HBOS,50.0,,,0.8539382619776563,COMPLETE
13,0.05855735959542188,2026-04-24 14:12:35.660203,2026-04-24 14:12:36.161021,0 days 00:00:00.500818,,0.01956291363650499,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.20049099836333878,2026-04-24 14:12:36.161253,2026-04-24 14:12:36.171085,0 days 00:00:00.009832,,0.1989058004810467,,,ECOD,,,,,COMPLETE
15,0.06216006216006216,2026-04-24 14:12:36.171375,2026-04-24 14:12:36.181569,0 days 00:00:00.010194,,0.027421114385917815,,,ECOD,,,,,COMPLETE
16,0.03995737879595099,2026-04-24 14:12:36.181848,2026-04-24 14:12:36.192117,0 days 00:00:00.010269,,0.009442640435834046,,,ECOD,,,,,COMPLETE
17,0.14667612964277266,2026-04-24 14:12:36.192314,2026-04-24 14:12:36.613382,0 days 00:00:00.421068,,0.09825005130624256,,0.3235101194541304,IForest,,169.0,,,COMPLETE
18,0.07073045267489712,2026-04-24 14:12:36.613609,2026-04-24 14:12:36.623693,0 days 00:00:00.010084,,0.03552888839001809,,,ECOD,,,,,COMPLETE
19,0.1941974730931212,2026-04-24 14:12:36.623856,2026-04-24 14:12:37.004421,0 days 00:00:00.380565,,0.10730238726559596,,0.7242718721848225,IForest,,135.0,,,COMPLETE
20,0.028142589118198873,2026-04-24 14:12:37.004664,2026-04-24 14:12:37.015050,0 days 00:00:00.010386,,0.0078623890631114,,,ECOD,,,,,COMPLETE
21,0.19153464175928114,2026-04-24 14:12:37.015278,2026-04-24 14:12:37.384086,0 days 00:00:00.368808,,0.10039753122338556,,0.719129829514799,IForest,,133.0,,,COMPLETE
22,0.2680241013920632,2026-04-24 14:12:37.384313,2026-04-24 14:12:37.776438,0 days 00:00:00.392125,,0.1976341341000998,,0.8217167237281647,IForest,,141.0,,,COMPLETE
23,0.26830282861896837,2026-04-24 14:12:37.776666,2026-04-24 14:12:38.234340,0 days 00:00:00.457674,,0.19565272980219783,,0.8526428543303675,IForest,,161.0,,,COMPLETE
24,0.15586343394359228,2026-04-24 14:12:38.234555,2026-04-24 14:12:38.670249,0 days 00:00:00.435694,,0.07104820719006912,,0.8550383771139456,IForest,,160.0,,,COMPLETE
