number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.01904761904761905,2026-04-18 17:12:16.345968,2026-04-18 17:12:16.354247,0 days 00:00:00.008279,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.18787878787878787,2026-04-18 17:12:16.354370,2026-04-18 17:12:16.764229,0 days 00:00:00.409859,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.23853211009174313,2026-04-18 17:12:16.764400,2026-04-18 17:12:16.767351,0 days 00:00:00.002951,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.15384615384615385,2026-04-18 17:12:16.767465,2026-04-18 17:12:16.770190,0 days 00:00:00.002725,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.2653061224489796,2026-04-18 17:12:16.770292,2026-04-18 17:12:16.773022,0 days 00:00:00.002730,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.08,2026-04-18 17:12:16.773131,2026-04-18 17:12:17.219217,0 days 00:00:00.446086,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.13592233009708737,2026-04-18 17:12:17.219394,2026-04-18 17:12:17.721459,0 days 00:00:00.502065,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.08,2026-04-18 17:12:17.721627,2026-04-18 17:12:17.890682,0 days 00:00:00.169055,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.23853211009174313,2026-04-18 17:12:17.890824,2026-04-18 17:12:17.893613,0 days 00:00:00.002789,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.11764705882352941,2026-04-18 17:12:17.893722,2026-04-18 17:12:18.064794,0 days 00:00:00.171072,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.18115942028985507,2026-04-18 17:12:18.064959,2026-04-18 17:12:18.087056,0 days 00:00:00.022097,,0.10709305396188736,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.368,2026-04-18 17:12:18.087178,2026-04-18 17:12:18.094208,0 days 00:00:00.007030,0.09363595088672572,0.029242827317407568,,,,,HBOS,39.0,,,,0.5212736443155815,COMPLETE
12,0.3404255319148936,2026-04-18 17:12:18.094320,2026-04-18 17:12:18.101304,0 days 00:00:00.006984,0.06676836451181783,0.03976304121494489,,,,,HBOS,39.0,,,,0.6513603060406772,COMPLETE
13,0.3770491803278688,2026-04-18 17:12:18.101414,2026-04-18 17:12:18.108479,0 days 00:00:00.007065,0.053536337851493754,0.033396199492591816,,,,,HBOS,40.0,,,,0.6994060891955686,COMPLETE
14,0.3382352941176471,2026-04-18 17:12:18.108584,2026-04-18 17:12:18.132397,0 days 00:00:00.023813,,0.028282898283560055,,,73.0,,LOF,,,80.0,,,COMPLETE
15,0.38333333333333336,2026-04-18 17:12:18.132535,2026-04-18 17:12:18.139931,0 days 00:00:00.007396,0.0544305955754866,0.036180825538111076,,,,,HBOS,31.0,,,,0.8809706723402276,COMPLETE
16,0.38333333333333336,2026-04-18 17:12:18.140048,2026-04-18 17:12:18.147087,0 days 00:00:00.007039,0.16010973169022386,0.05504330081806023,,,,,HBOS,29.0,,,,0.895956445398744,COMPLETE
17,0.2988505747126437,2026-04-18 17:12:18.147199,2026-04-18 17:12:18.154217,0 days 00:00:00.007018,0.4844020757294548,0.05597902641038307,,,,,HBOS,27.0,,,,0.8960952786614765,COMPLETE
18,0.38016528925619836,2026-04-18 17:12:18.154326,2026-04-18 17:12:18.172538,0 days 00:00:00.018212,,0.01702403295432473,,,45.0,,LOF,,,63.0,,,COMPLETE
19,0.17,2026-04-18 17:12:18.172667,2026-04-18 17:12:18.432178,0 days 00:00:00.259511,,0.06101301668231292,0.7534933229670149,sigmoid,,,OCSVM,,,,0.3980670533463242,,COMPLETE
20,0.38333333333333336,2026-04-18 17:12:18.432376,2026-04-18 17:12:18.440056,0 days 00:00:00.007680,0.18035277984794587,0.01739723083615431,,,,,HBOS,29.0,,,,0.8989588361523353,COMPLETE
21,0.3418803418803419,2026-04-18 17:12:18.440176,2026-04-18 17:12:18.447675,0 days 00:00:00.007499,0.1738592543295623,0.013030433873677657,,,,,HBOS,29.0,,,,0.8962088109201913,COMPLETE
22,0.3865546218487395,2026-04-18 17:12:18.447791,2026-04-18 17:12:18.455188,0 days 00:00:00.007397,0.17111535577571704,0.01902255128534238,,,,,HBOS,30.0,,,,0.7728084626661109,COMPLETE
23,0.29069767441860467,2026-04-18 17:12:18.455297,2026-04-18 17:12:18.462634,0 days 00:00:00.007337,0.14057118095215135,0.07507293983830747,,,,,HBOS,32.0,,,,0.755892620221085,COMPLETE
24,0.3709677419354839,2026-04-18 17:12:18.462743,2026-04-18 17:12:18.470108,0 days 00:00:00.007365,0.2315404412589459,0.023191177529631395,,,,,HBOS,21.0,,,,0.7993854232441238,COMPLETE
