number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.04613841524573721,2026-04-18 16:51:24.831941,2026-04-18 16:51:29.386536,0 days 00:00:04.554595,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.0836697247706422,2026-04-18 16:51:29.386742,2026-04-18 16:51:30.473440,0 days 00:00:01.086698,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.011527377521613832,2026-04-18 16:51:30.473633,2026-04-18 16:51:30.479777,0 days 00:00:00.006144,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.004,2026-04-18 16:51:30.479894,2026-04-18 16:51:30.485688,0 days 00:00:00.005794,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.055483311660164715,2026-04-18 16:51:30.485792,2026-04-18 16:51:30.491601,0 days 00:00:00.005809,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.0,2026-04-18 16:51:30.491709,2026-04-18 16:51:31.623742,0 days 00:00:01.132033,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.017964071856287425,2026-04-18 16:51:31.623940,2026-04-18 16:51:32.959142,0 days 00:00:01.335202,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.0,2026-04-18 16:51:32.959316,2026-04-18 16:51:33.406937,0 days 00:00:00.447621,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.011527377521613832,2026-04-18 16:51:33.407118,2026-04-18 16:51:33.413144,0 days 00:00:00.006026,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.003992015968063872,2026-04-18 16:51:33.413268,2026-04-18 16:51:44.874540,0 days 00:00:11.461272,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
