number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.03868970853752902,2026-04-18 17:59:32.823146,2026-04-18 17:59:32.888721,0 days 00:00:00.065575,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.010274852298998202,2026-04-18 17:59:32.888930,2026-04-18 17:59:32.908334,0 days 00:00:00.019404,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.012768130745658836,2026-04-18 17:59:32.908553,2026-04-18 17:59:32.928388,0 days 00:00:00.019835,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.1529241578838603,2026-04-18 17:59:32.928574,2026-04-18 17:59:33.514700,0 days 00:00:00.586126,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.12034340027594664,2026-04-18 17:59:33.514909,2026-04-18 17:59:33.524554,0 days 00:00:00.009645,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.019475460919241756,2026-04-18 17:59:33.524716,2026-04-18 17:59:33.766041,0 days 00:00:00.241325,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.22506875090461717,2026-04-18 17:59:33.766222,2026-04-18 17:59:34.990882,0 days 00:00:01.224660,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0013031013812874641,2026-04-18 17:59:34.991073,2026-04-18 17:59:35.000279,0 days 00:00:00.009206,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.20657841957480946,2026-04-18 17:59:35.000452,2026-04-18 17:59:35.459713,0 days 00:00:00.459261,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.05170185264971995,2026-04-18 17:59:35.459918,2026-04-18 17:59:35.479951,0 days 00:00:00.020033,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.02584297317253261,2026-04-18 17:59:35.480198,2026-04-18 17:59:35.501430,0 days 00:00:00.021232,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.23176895306859205,2026-04-18 17:59:35.501611,2026-04-18 17:59:36.837995,0 days 00:00:01.336384,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.23427606585056987,2026-04-18 17:59:36.838190,2026-04-18 17:59:38.209093,0 days 00:00:01.370903,,0.17998506335222095,,0.997051699031053,IForest,,192.0,,,COMPLETE
13,0.1185006045949214,2026-04-18 17:59:38.209295,2026-04-18 17:59:39.641253,0 days 00:00:01.431958,,0.0243897042982637,,0.8109715399222327,IForest,,196.0,,,COMPLETE
14,0.1941747572815534,2026-04-18 17:59:39.641460,2026-04-18 17:59:40.725947,0 days 00:00:01.084487,,0.16953867479922408,,0.40461158038518974,IForest,,154.0,,,COMPLETE
15,0.02584297317253261,2026-04-18 17:59:40.726163,2026-04-18 17:59:40.746914,0 days 00:00:00.020751,,0.013424584154280014,,,ECOD,,,,,COMPLETE
16,0.21108663729809105,2026-04-18 17:59:40.747144,2026-04-18 17:59:42.190049,0 days 00:00:01.442905,,0.09681165729706535,,0.8147100018818704,IForest,,200.0,,,COMPLETE
17,0.1286985807072408,2026-04-18 17:59:42.190257,2026-04-18 17:59:43.097037,0 days 00:00:00.906780,,0.025440403205472473,,0.9972115722232049,IForest,,126.0,,,COMPLETE
18,0.1505675237433403,2026-04-18 17:59:43.097238,2026-04-18 17:59:44.305519,0 days 00:00:01.208281,,0.03430458455555391,,0.8199258979028818,IForest,,165.0,,,COMPLETE
19,0.15375,2026-04-18 17:59:44.305744,2026-04-18 17:59:44.431719,0 days 00:00:00.125975,,0.007786513505009941,14.0,,LOF,,,44.0,,COMPLETE
20,0.08226360513469536,2026-04-18 17:59:44.431953,2026-04-18 17:59:44.453548,0 days 00:00:00.021595,,0.09761663292330354,,,ECOD,,,,,COMPLETE
21,0.22417285617825794,2026-04-18 17:59:44.453799,2026-04-18 17:59:45.707531,0 days 00:00:01.253732,,0.19894698132622327,,0.9818721857450945,IForest,,169.0,,,COMPLETE
22,0.22033310201249132,2026-04-18 17:59:45.707741,2026-04-18 17:59:47.016839,0 days 00:00:01.309098,,0.1138274709132978,,0.8780812401363619,IForest,,179.0,,,COMPLETE
23,0.21512838306731435,2026-04-18 17:59:47.017053,2026-04-18 17:59:48.040139,0 days 00:00:01.023086,,0.11279064666643236,,0.892206389106605,IForest,,139.0,,,COMPLETE
24,0.18176087413322126,2026-04-18 17:59:48.040353,2026-04-18 17:59:49.366774,0 days 00:00:01.326421,,0.05868195522434446,,0.6872999573042693,IForest,,182.0,,,COMPLETE
25,0.049062363715656344,2026-04-18 17:59:49.366968,2026-04-18 17:59:49.380489,0 days 00:00:00.013521,0.01417034028739772,0.14136527335102006,,,HBOS,5.0,,,0.8330312987117048,COMPLETE
26,0.18058225762153254,2026-04-18 17:59:49.380692,2026-04-18 17:59:50.073821,0 days 00:00:00.693129,,0.19558070552717047,,0.3389394668255239,IForest,,101.0,,,COMPLETE
27,0.21149778888675255,2026-04-18 17:59:50.074021,2026-04-18 17:59:51.136933,0 days 00:00:01.062912,,0.08267146520815188,,0.9160082654481339,IForest,,147.0,,,COMPLETE
28,0.07373271889400922,2026-04-18 17:59:51.137159,2026-04-18 17:59:52.466949,0 days 00:00:01.329790,,0.03293057911934294,,0.47969485727859945,IForest,,185.0,,,COMPLETE
29,0.17757009345794392,2026-04-18 17:59:52.467146,2026-04-18 17:59:52.745588,0 days 00:00:00.278442,,0.04781105534328593,77.0,,LOF,,,97.0,,COMPLETE
30,0.10195554069864617,2026-04-18 17:59:52.745901,2026-04-18 17:59:52.769452,0 days 00:00:00.023551,,0.1250467652174148,,,COPOD,,,,,COMPLETE
31,0.23062227074235808,2026-04-18 17:59:52.769680,2026-04-18 17:59:54.072859,0 days 00:00:01.303179,,0.19517662275271827,,0.99375179469384,IForest,,170.0,,,COMPLETE
32,0.22867314802136107,2026-04-18 17:59:54.073065,2026-04-18 17:59:55.341937,0 days 00:00:01.268872,,0.1941592136246662,,0.9325605627457352,IForest,,165.0,,,COMPLETE
33,0.22186234817813766,2026-04-18 17:59:55.342143,2026-04-18 17:59:56.729857,0 days 00:00:01.387714,,0.13408082822200454,,0.8957983764490035,IForest,,185.0,,,COMPLETE
34,0.21400394477317555,2026-04-18 17:59:56.730049,2026-04-18 17:59:57.897792,0 days 00:00:01.167743,,0.0763038287457199,,0.9289926338341394,IForest,,159.0,,,COMPLETE
35,0.1383965094082356,2026-04-18 17:59:57.897987,2026-04-18 17:59:57.919621,0 days 00:00:00.021634,,0.19931082736616565,,,COPOD,,,,,COMPLETE
36,0.006395497569710923,2026-04-18 17:59:57.919836,2026-04-18 17:59:57.933973,0 days 00:00:00.014137,0.49698296467435743,0.005433438557394182,,,HBOS,50.0,,,0.7886664822342316,COMPLETE
37,0.051453563159248775,2026-04-18 17:59:57.934149,2026-04-18 17:59:58.004333,0 days 00:00:00.070184,,0.0026595726578642247,50.0,,LOF,,,10.0,,COMPLETE
38,0.21647718423921508,2026-04-18 17:59:58.004527,2026-04-18 17:59:59.246472,0 days 00:00:01.241945,,0.14771579931523351,,0.7508799216609738,IForest,,175.0,,,COMPLETE
39,0.06006628003314002,2026-04-18 17:59:59.246666,2026-04-18 17:59:59.267833,0 days 00:00:00.021167,,0.05790178413848565,,,ECOD,,,,,COMPLETE
40,0.18837863167760074,2026-04-18 17:59:59.268017,2026-04-18 18:00:00.238323,0 days 00:00:00.970306,,0.09158190548934458,,0.5263385348870828,IForest,,136.0,,,COMPLETE
41,0.22627516270622067,2026-04-18 18:00:00.238527,2026-04-18 18:00:01.443525,0 days 00:00:01.204998,,0.15391077930594363,,0.9573171481742397,IForest,,164.0,,,COMPLETE
42,0.2249648492423059,2026-04-18 18:00:01.443752,2026-04-18 18:00:02.857980,0 days 00:00:01.414228,,0.14723294664764167,,0.9432455482346493,IForest,,194.0,,,COMPLETE
43,0.2180658507153939,2026-04-18 18:00:02.858189,2026-04-18 18:00:03.987942,0 days 00:00:01.129753,,0.11528430547976388,,0.8565421731109197,IForest,,155.0,,,COMPLETE
44,0.006459948320413436,2026-04-18 18:00:03.988153,2026-04-18 18:00:05.243674,0 days 00:00:01.255521,,0.0018907603515298586,,0.9940516041536753,IForest,,174.0,,,COMPLETE
45,0.11913853673438216,2026-04-18 18:00:05.243882,2026-04-18 18:00:05.258904,0 days 00:00:00.015022,0.2195979190388765,0.15530823050480308,,,HBOS,31.0,,,0.08757495956852623,COMPLETE
46,0.07470021623746806,2026-04-18 18:00:05.259107,2026-04-18 18:00:05.280746,0 days 00:00:00.021639,,0.07214307024556496,,,COPOD,,,,,COMPLETE
47,0.22641234711706465,2026-04-18 18:00:05.280943,2026-04-18 18:00:06.645617,0 days 00:00:01.364674,,0.17232039303693636,,0.9414308527296292,IForest,,188.0,,,COMPLETE
48,0.23260629486471562,2026-04-18 18:00:06.645840,2026-04-18 18:00:08.017644,0 days 00:00:01.371804,,0.19093724945401516,,0.9311150815476725,IForest,,188.0,,,COMPLETE
49,0.2229644340133598,2026-04-18 18:00:08.017844,2026-04-18 18:00:09.420651,0 days 00:00:01.402807,,0.10122160636227888,,0.8566160378038394,IForest,,192.0,,,COMPLETE
