number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0,2026-04-18 17:10:20.175058,2026-04-18 17:10:20.183346,0 days 00:00:00.008288,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.1829652996845426,2026-04-18 17:10:20.183461,2026-04-18 17:10:20.598139,0 days 00:00:00.414678,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.2702702702702703,2026-04-18 17:10:20.598321,2026-04-18 17:10:20.601309,0 days 00:00:00.002988,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.04081632653061224,2026-04-18 17:10:20.601428,2026-04-18 17:10:20.604176,0 days 00:00:00.002748,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.19285714285714287,2026-04-18 17:10:20.604280,2026-04-18 17:10:20.606914,0 days 00:00:00.002634,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.020618556701030927,2026-04-18 17:10:20.607013,2026-04-18 17:10:21.058042,0 days 00:00:00.451029,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.08,2026-04-18 17:10:21.058229,2026-04-18 17:10:21.566231,0 days 00:00:00.508002,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.020618556701030927,2026-04-18 17:10:21.566410,2026-04-18 17:10:21.738914,0 days 00:00:00.172504,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.23853211009174313,2026-04-18 17:10:21.739092,2026-04-18 17:10:21.741973,0 days 00:00:00.002881,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.04081632653061224,2026-04-18 17:10:21.742095,2026-04-18 17:10:21.907237,0 days 00:00:00.165142,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.3230769230769231,2026-04-18 17:10:21.907428,2026-04-18 17:10:21.928953,0 days 00:00:00.021525,,0.026937333020874227,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.32061068702290074,2026-04-18 17:10:21.929077,2026-04-18 17:10:21.956336,0 days 00:00:00.027259,,0.027711073140233456,0.00011200687440843911,rbf,,,OCSVM,,,,0.02340327681311205,,COMPLETE
12,0.3088235294117647,2026-04-18 17:10:21.956458,2026-04-18 17:10:21.983961,0 days 00:00:00.027503,,0.032890831782478286,0.00011682022185484309,rbf,,,OCSVM,,,,0.02315905533304593,,COMPLETE
13,0.3181818181818182,2026-04-18 17:10:21.984087,2026-04-18 17:10:22.001009,0 days 00:00:00.016922,,0.029202418327655206,0.00010335565115964224,rbf,,,OCSVM,,,,0.011683057028475346,,COMPLETE
14,0.32558139534883723,2026-04-18 17:10:22.001135,2026-04-18 17:10:22.120786,0 days 00:00:00.119651,,0.02655818236708641,0.0014964792495358844,rbf,,,OCSVM,,,,0.12701910051365511,,COMPLETE
15,0.24277456647398843,2026-04-18 17:10:22.120943,2026-04-18 17:10:22.245323,0 days 00:00:00.124380,,0.053071524969853234,0.004922875637002569,rbf,,,OCSVM,,,,0.1331225709703189,,COMPLETE
16,0.358974358974359,2026-04-18 17:10:22.245476,2026-04-18 17:10:22.267582,0 days 00:00:00.022106,,0.015050603664166771,,,80.0,,LOF,,,70.0,,,COMPLETE
17,0.2857142857142857,2026-04-18 17:10:22.267720,2026-04-18 17:10:22.292157,0 days 00:00:00.024437,,0.012200019411888535,,,78.0,,LOF,,,79.0,,,COMPLETE
