city,column,detector,n,perfit_s,search_s
london,temperature_2m,LOF,500,0.0007786659989506006,0.019466649973765016
london,temperature_2m,LOF,1000,0.001269000000320375,0.031725000008009374
london,temperature_2m,LOF,1500,0.001676542015047744,0.0419135503761936
london,temperature_2m,LOF,2000,0.00201500000548549,0.05037500013713725
london,temperature_2m,LOF,3000,0.003079082991462201,0.07697707478655502
london,temperature_2m,LOF,4000,0.0038413330039475113,0.09603332509868778
london,temperature_2m,LOF,5000,0.004938124999171123,0.12345312497927807
london,temperature_2m,LOF,6000,0.0059832080150954425,0.14958020037738606
london,temperature_2m,LOF,7500,0.007678374997340143,0.19195937493350357
london,temperature_2m,LOF,9000,0.008855457999743521,0.22138644999358803
london,temperature_2m,LOF,10000,0.010098083992488682,0.25245209981221706
london,temperature_2m,LOF,12000,0.012593040999490768,0.3148260249872692
london,temperature_2m,LOF,14000,0.01509395899483934,0.3773489748709835
london,temperature_2m,LOF,15000,0.01659641700098291,0.41491042502457276
london,temperature_2m,LOF,17000,0.01934708299813792,0.483677074953448
london,temperature_2m,LOF,19000,0.022403167007723823,0.5600791751930956
london,temperature_2m,LOF,20352,0.02409187500597909,0.6022968751494773
london,apparent_temperature,LOF,500,0.0007587500149384141,0.018968750373460352
london,apparent_temperature,LOF,1000,0.0011968330072704703,0.029920825181761757
london,apparent_temperature,LOF,1500,0.0016459159960504621,0.04114789990126155
london,apparent_temperature,LOF,2000,0.001997416984522715,0.04993542461306788
london,apparent_temperature,LOF,3000,0.0033260829804930836,0.08315207451232709
london,apparent_temperature,LOF,4000,0.0038246250187512487,0.09561562546878122
london,apparent_temperature,LOF,5000,0.00472216698108241,0.11805417452706024
london,apparent_temperature,LOF,6000,0.005809124995721504,0.1452281248930376
london,apparent_temperature,LOF,7500,0.007296875002793968,0.1824218750698492
london,apparent_temperature,LOF,9000,0.008441290992777795,0.21103227481944486
london,apparent_temperature,LOF,10000,0.009575958014465868,0.2393989503616467
london,apparent_temperature,LOF,12000,0.012058749998686835,0.3014687499671709
london,apparent_temperature,LOF,14000,0.014644999988377094,0.36612499970942736
london,apparent_temperature,LOF,15000,0.01567112500197254,0.39177812504931353
london,apparent_temperature,LOF,17000,0.01807387502049096,0.451846875512274
london,apparent_temperature,LOF,19000,0.021129125001607463,0.5282281250401866
london,apparent_temperature,LOF,20352,0.023263207986019552,0.5815801996504888
london,precipitation,LOF,500,0.0010535840119700879,0.026339600299252197
london,precipitation,LOF,1000,0.0027616659936029464,0.06904164984007366
london,precipitation,LOF,1500,0.005131249985424802,0.12828124963562004
london,precipitation,LOF,2000,0.009138374996837229,0.2284593749209307
london,precipitation,LOF,3000,0.018228375003673136,0.4557093750918284
london,precipitation,LOF,4000,0.033341667003696784,0.8335416750924196
london,precipitation,LOF,5000,0.049343833001330495,1.2335958250332624
london,precipitation,LOF,6000,0.06808154098689556,1.702038524672389
london,precipitation,LOF,7500,0.10401237499900162,2.6003093749750406
london,precipitation,LOF,9000,0.1558910830062814,3.897277075157035
london,precipitation,LOF,10000,0.18854958299198188,4.713739574799547
london,precipitation,LOF,12000,0.2638431249943096,6.5960781248577405
london,precipitation,LOF,14000,0.35306400002446026,8.826600000611506
london,precipitation,LOF,15000,0.39948279201053083,9.98706980026327
london,precipitation,LOF,17000,0.5483500839909539,13.708752099773847
london,precipitation,LOF,19000,0.6729226660099812,16.82306665024953
london,precipitation,LOF,20352,0.7630172499921173,19.075431249802932
london,surface_pressure,ECOD,500,0.0003844579914584756,0.00961144978646189
london,surface_pressure,ECOD,1000,0.0004025000089313835,0.010062500223284587
london,surface_pressure,ECOD,1500,0.0004609159950632602,0.011522899876581505
london,surface_pressure,ECOD,2000,0.0005148330237716436,0.012870825594291091
london,surface_pressure,ECOD,3000,0.0006483750184997916,0.01620937546249479
london,surface_pressure,ECOD,4000,0.0007822499901521951,0.019556249753804877
london,surface_pressure,ECOD,5000,0.0008715420262888074,0.021788550657220185
london,surface_pressure,ECOD,6000,0.0010083749948535115,0.025209374871337786
london,surface_pressure,ECOD,7500,0.0011812500015366822,0.029531250038417056
london,surface_pressure,ECOD,9000,0.0013546250120270997,0.03386562530067749
london,surface_pressure,ECOD,10000,0.001504708983702585,0.03761772459256463
london,surface_pressure,ECOD,12000,0.0017395419999957085,0.04348854999989271
london,surface_pressure,ECOD,14000,0.001967624993994832,0.0491906248498708
london,surface_pressure,ECOD,15000,0.0020755839941557497,0.05188959985389374
london,surface_pressure,ECOD,17000,0.0022819580044597387,0.05704895011149347
london,surface_pressure,ECOD,19000,0.0025744169834069908,0.06436042458517477
london,surface_pressure,ECOD,20352,0.002738584007602185,0.06846460019005463
london,soil_temperature_7_to_28cm,LOF,500,0.0007574999763164669,0.018937499407911673
london,soil_temperature_7_to_28cm,LOF,1000,0.0011465419956948608,0.02866354989237152
london,soil_temperature_7_to_28cm,LOF,1500,0.0017938749806489795,0.04484687451622449
london,soil_temperature_7_to_28cm,LOF,2000,0.0019985419930890203,0.049963549827225506
london,soil_temperature_7_to_28cm,LOF,3000,0.0030417920206673443,0.07604480051668361
london,soil_temperature_7_to_28cm,LOF,4000,0.0037903329939581454,0.09475832484895363
london,soil_temperature_7_to_28cm,LOF,5000,0.004873666999628767,0.12184167499071918
london,soil_temperature_7_to_28cm,LOF,6000,0.005913291999604553,0.14783229999011382
london,soil_temperature_7_to_28cm,LOF,7500,0.0077967919933144,0.19491979983286
london,soil_temperature_7_to_28cm,LOF,9000,0.009052624984178692,0.2263156246044673
london,soil_temperature_7_to_28cm,LOF,10000,0.010183917009271681,0.25459792523179203
london,soil_temperature_7_to_28cm,LOF,12000,0.01246266599628143,0.31156664990703575
london,soil_temperature_7_to_28cm,LOF,14000,0.015276291989721358,0.38190729974303395
london,soil_temperature_7_to_28cm,LOF,15000,0.01692150000599213,0.42303750014980324
london,soil_temperature_7_to_28cm,LOF,17000,0.019488499994622543,0.4872124998655636
london,soil_temperature_7_to_28cm,LOF,19000,0.02276891702786088,0.569222925696522
london,soil_temperature_7_to_28cm,LOF,20352,0.02446162499836646,0.6115406249591615
london,soil_moisture_7_to_28cm,LOF,500,0.0007526249974034727,0.018815624935086817
london,soil_moisture_7_to_28cm,LOF,1000,0.001170208997791633,0.029255224944790825
london,soil_moisture_7_to_28cm,LOF,1500,0.0016656249936204404,0.04164062484051101
london,soil_moisture_7_to_28cm,LOF,2000,0.0020892079919576645,0.05223019979894161
london,soil_moisture_7_to_28cm,LOF,3000,0.0030948749918024987,0.07737187479506247
london,soil_moisture_7_to_28cm,LOF,4000,0.0038409580010920763,0.09602395002730191
london,soil_moisture_7_to_28cm,LOF,5000,0.004890582989901304,0.1222645747475326
london,soil_moisture_7_to_28cm,LOF,6000,0.006112457980634645,0.15281144951586612
london,soil_moisture_7_to_28cm,LOF,7500,0.007907249993877485,0.19768124984693713
london,soil_moisture_7_to_28cm,LOF,9000,0.009250624978449196,0.2312656244612299
london,soil_moisture_7_to_28cm,LOF,10000,0.010881207999773324,0.2720301999943331
london,soil_moisture_7_to_28cm,LOF,12000,0.013333124981727451,0.3333281245431863
london,soil_moisture_7_to_28cm,LOF,14000,0.01654720798251219,0.4136801995628048
london,soil_moisture_7_to_28cm,LOF,15000,0.017984417005209252,0.4496104251302313
london,soil_moisture_7_to_28cm,LOF,17000,0.020641125011024997,0.5160281252756249
london,soil_moisture_7_to_28cm,LOF,19000,0.02358324997476302,0.5895812493690755
london,soil_moisture_7_to_28cm,LOF,20352,0.025692082999739796,0.6423020749934949
